Fulfilment Location Name,Channel Order ID,Parent Order ID,Shipment ID,External Item Code,Client SKU ID / EAN,Sales Channel
koskii karol bagh,KO210573,KO210573,154969,K852186,SSUS0020897_PEACH,SHOPIFYIN
koskii tower,KO210575,KO210575,154861,B5DF72FE3A5,SSUS0038805_MAROON,SHOPIFYIN
koskii rs puram,128319fc-8f51-47cd-8349-bd8a767fd5c6,128319fc-8f51-47cd-8349-bd8a767fd5c6,154712,K945710,SSUS0020108_PEACH,MYNTRA
koskii tower,8edbbd17-a639-4522-ac8e-af275627eb46,8edbbd17-a639-4522-ac8e-af275627eb46,154705,K1080617,SAUS0034608_BLACK,MYNTRA
koskii tower,KO210609,KO210609,154752,B5F0939A700,SAUS0038538_PISTA_GREEN,SHOPIFYIN
koskii karol bagh,KO210657,KO210657,155092,K937244,SSUS0020427_ONION_PINK,SHOPIFYIN
koskii banjara hills,KO210289,KO210289,154821,k1114893,SSUS0036000_BLACK,SHOPIFYIN
koskii karol bagh,KO210701,KO210701,155062,K976067,SSUS0019609_BOTTLE_GREEN,SHOPIFYIN
koskii annanagar,1d6cd066-2b3a-446a-9cf1-1a97c9534493,1d6cd066-2b3a-446a-9cf1-1a97c9534493,155162,B28F4EA19B2,SAUS0039302_RANI_PINK,MYNTRA
koskii tower,KO210761,KO210761,155147,,,SHOPIFYIN
koskii mg road kochi,fcf189ec-b93e-4934-8a64-33f0c613c174,fcf189ec-b93e-4934-8a64-33f0c613c174,155151,B0A4B0ADFD0,SAUS0020750_PINK,MYNTRA
koskii mg road kochi,770e86fb-51ba-4139-9973-c44108ef1394,770e86fb-51ba-4139-9973-c44108ef1394,155168,B5DA21764CC,SAUS0034607_WINE,MYNTRA
koskii mg road kochi,KO210814,KO210814,155315,b15e5b1ed65,SAUS0036132_PEACH,SHOPIFYIN
koskii mg road kochi,KO210816,KO210816,155228,B17B0E30ED8,SAUS0038558_CREAM_RANI_PINK,SHOPIFYIN
koskii mg road kochi,KO210834,KO210834,155320,b22ce26f5d8,SAUS0016921_BOTTLE_GREEN,SHOPIFYIN
koskii mg road kochi,KO210834,KO210834,155320,b1798d4919b,SAUS0038566_NAVY_BLUE,SHOPIFYIN
koskii mg road kochi,fd3558b8-24fe-4b85-a49a-c64c824564c2,fd3558b8-24fe-4b85-a49a-c64c824564c2,155324,k844879,SAUS0029621_RANI_PINK,MYNTRA
koskii mg road kochi,KO210879,KO210879,155504,B556655A5E0,SAUS0039010_RANI_PINK,SHOPIFYIN
koskii mg road kochi,KO210883,KO210883,155593,B024495F9B2,SAUS0034603_MAROON,SHOPIFYIN
koskii cathedral road,5d4ad3c6-a595-4995-9b87-03ee5dddedad,5d4ad3c6-a595-4995-9b87-03ee5dddedad,155421,B198227330C,SAUS0038521_RAMA_GREEN,MYNTRA
koskii tower,KO210901,KO210901,155490,K909474,SAUS0020113_WINE,SHOPIFYIN
koskii annanagar,KO210903,KO210903,155553,B15EB46F6A9,SAUS0036132_PISTA_GREEN,SHOPIFYIN
koskii mg road kochi,e8b36fae-8c2f-4e22-933c-05855340a285,e8b36fae-8c2f-4e22-933c-05855340a285,155519,K1100731,SAUS0016434_SKY_BLUE,MYNTRA
koskii cathedral road,b2cbedae-c8d8-4a12-a29a-f34ecc4ad1b9,b2cbedae-c8d8-4a12-a29a-f34ecc4ad1b9,155429,K839595,SAUS0030105_MEHENDI,MYNTRA
koskii karol bagh,KO210969,KO210969,155685,K980455,SSUS0034154_GREY,SHOPIFYIN
koskii south extension,KO211007,KO211007,155948,K936401,SAUS0021893_WINE,SHOPIFYIN
koskii commercial,1f433164-b6ed-4d01-8cd9-1c379b7b6f43,1f433164-b6ed-4d01-8cd9-1c379b7b6f43,155537,AF72B8B73A5,SAUS0029651_LAVENDER,MYNTRA
koskii cathedral road,KO211023,KO211023,155530,K1094349,SSUS0016946_LAVENDER,SHOPIFYIN
koskii jubilee hills,5919e099-42aa-4603-ba74-2f621cc7eec5,5919e099-42aa-4603-ba74-2f621cc7eec5,155547,K1037104,SAUS0034122_MAROON,MYNTRA
koskii banjara hills,KO211033,KO211033,155546,b17b22ceaab,SAUS0038558_RAMA_GREEN_NAVY_BLUE,SHOPIFYIN
koskii annanagar,KO211034,KO211034,155573,B4C59EA2D9A,SAUS0038899_ONION_PINK,SHOPIFYIN
koskii nexus mall,KO210942,KO210942,155833,B297497FE58,SAUS0039230_COPPER,SHOPIFYIN
koskii tower,KO211078,KO211078,155849,B20CD68E8B9,SAUS0036131_PEACH,SHOPIFYIN
koskii sarath city mall,9b0bbd95-9417-4b0e-af45-ec388235a4a9,9b0bbd95-9417-4b0e-af45-ec388235a4a9,155734,B4A2A5FC59F,SAUS0022390_MAUVE,MYNTRA
koskii tower,KO211116,KO211116,155863,B29204CDB22,SSUS0038714_BOTTLE_GREEN_MULTI,SHOPIFYIN
