forward_order_code,is_completed
KO202186,FALSE
KO203033,FALSE
KO202139,TRUE
KO202515,FALSE
KO211696,FALSE
NYKF23094133,FALSE
KO201850,FALSE
KO201856,FALSE
KO202992,FALSE
KO203061,FALSE
KO203145,FALSE
KO209814,FALSE
KO198751,FALSE
KO202998,FALSE
KO203245,FALSE
KO203305,FALSE
e6e20374-bbd1-4995-9bb0-810b0a0ea8ec,FALSE
KO203112,FALSE
KO203188,FALSE
KO203186,FALSE
KO203071,FALSE
KO201416,FALSE
KO201581,FALSE
KO203063,TRUE
KO211658,FALSE
KO209758,TRUE
KO209732,FALSE
KO203146,FALSE
KO203265,FALSE
KO209612,FALSE
KO203044,FALSE
KO202861,FALSE
KO203125,FALSE
KO203070,FALSE
KO203191,FALSE
KO203116,FALSE
KO203136,FALSE
KO209982,FALSE
KO202724,FALSE
KO202222,FALSE
KO209955,FALSE
KO202744,FALSE
KO202517,TRUE
KO202532,FALSE
KO202578,FALSE
KO211732,FALSE
KO209808,TRUE
bb1f83b1-c67a-43df-9261-d2ec309eb8d5,FALSE
KO209840,FALSE
KO211319,TRUE
KO212587,FALSE
KO203171,FALSE
KO203110,FALSE
KO203127,FALSE
KO203133,FALSE
KO203135,FALSE
KO203291,FALSE
KO203183,FALSE
KO203006,FALSE
KUS5855,FALSE
KO203184,FALSE
KO203187,TRUE
KO202471,FALSE
KO202406,FALSE
KO202750,FALSE
KO203704,FALSE
ef57f692-5ba8-4252-99c0-1f587b08853c,FALSE
KO202256,FALSE
KO202445,FALSE
NYKF23955307,FALSE
KO203279,FALSE
KO204252,FALSE
KO203332,FALSE
KO203284,FALSE
KO203321,FALSE
KO203290,FALSE
KO204120,FALSE
f88d3133-f4cf-4723-92ee-1d20cffeb4c0,FALSE
KO213042,FALSE
KO202807,FALSE
8d33ab3b-e188-4fe4-80ed-23fb4315d99c,FALSE
KO203722,FALSE
KO202798,FALSE
KO203656,FALSE
KO202606,TRUE
KO202830,FALSE
KO202613,FALSE
KO202544,FALSE
NYKF24754704,FALSE
KO202817,TRUE
KO203482,FALSE
KO203549,TRUE
KO202965,FALSE
KO203229,FALSE
KO203213,FALSE
KO202752,FALSE
KO203196,FALSE
KO203174,TRUE
KO203148,FALSE
KO203376,FALSE
KO202865,FALSE
KO212997,FALSE
KO203324,FALSE
KO203312,FALSE
KO203517,FALSE
KO203359,FALSE
KO203737,FALSE
KO203090,FALSE
KO203041,FALSE
KO203055,FALSE
KO203161,FALSE
KO203306,FALSE
KO203230,FALSE
KO203277,FALSE
KO203159,FALSE
KO203153,FALSE
KO203123,FALSE
KO203264,FALSE
KO203149,FALSE
KO203185,FALSE
KO202869,FALSE
KO203189,FALSE
KO203888,FALSE
KO203824,FALSE
KO203304,FALSE
KO203476,FALSE
KO203914,FALSE
KO203844,FALSE
KO203263,FALSE
KO203273,FALSE
KO203204,FALSE
KO203166,FALSE
KO203300,FALSE
KO203531,FALSE
e711aa39-e4b7-4699-8af8-880982bffb6c,FALSE
KO203235,FALSE
KO205285,FALSE
KO203950,FALSE
NYKF23566450,FALSE
22991c22-1613-45b9-8714-2760f524e0d2,FALSE
8e5058ae-f55a-43d9-a4f7-6e81b7ec5dc7,FALSE
KO203926,FALSE
02ab18b3-4c1f-458e-891d-8726cb38caa2,FALSE
KO203547,FALSE
KO204032,FALSE
KO203819,FALSE
KO204110,FALSE
KO204002,FALSE
KO204063,FALSE
KO204096,TRUE
KO204051,TRUE
KO204021,FALSE
KO203789,FALSE
KO204037,FALSE
KO204104,FALSE
NYKF23588572,FALSE
NYKF23583473,FALSE
KO203317,TRUE
KO203429,FALSE
KO203239,FALSE
KO204795,FALSE
32bb3057-796a-4164-b8d9-cb4d8a84ef9d,TRUE
KO203583,FALSE
KO204988,FALSE
31421d03-d26e-4a31-9def-6408510b3ba1,TRUE
efc19031-79d3-4709-bfd0-29d740ee074f,TRUE
04ecfb6c-71d2-40f6-aa4a-548b21a63348,FALSE
cf3263a7-14a9-43f3-bb29-53304ae414d9,FALSE
3da23f15-9054-46d8-9efd-a687df8e8d65,FALSE
b33fc196-c1fe-4f23-b88e-fa13b1ad6474,FALSE
e11a04f9-10c5-47f4-ba90-ae28815a5d40,FALSE
KO204307,FALSE
KUS5619,FALSE
7c7d2bca-1956-4c65-99d3-7a4f3ba2a406,TRUE
KO204496,FALSE
19a7627d-c2a2-4ced-b9cb-cee312e5141a,TRUE
NYKF23637414,FALSE
KO204918,TRUE
KO204642,FALSE
KO204318,TRUE
KO204907,TRUE
KO204425,FALSE
675641aa-341a-4d55-bb4a-312173237120,FALSE
KO204278,FALSE
KO204423,TRUE
KO204264,FALSE
KO204447,TRUE
KO204463,FALSE
KO204259,FALSE
KO204400,TRUE
KO204792,FALSE
KO204408,FALSE
KO204942,FALSE
KO204958,FALSE
KO204880,FALSE
KO204953,FALSE
c0c68fd9-7540-4887-9141-9333e5c0db73,FALSE
KO204399,FALSE
KO204468,FALSE
KO204335,FALSE
KO204091,FALSE
KO204347,FALSE
KO204414,FALSE
50bbffca-01f6-4c8d-ad11-b56e6aef9da0,FALSE
06ed4612-4ab6-4a70-8cdb-909adc6a8c2b,TRUE
KO204328,FALSE
KO204364,FALSE
9c280aff-927a-4f40-a5fb-3b63fd400db6,FALSE
KO204287,FALSE
NYKF23659709,FALSE
KO204296,FALSE
KO204396,FALSE
96a739c9-755c-44fb-a3f9-70a30eb8ac11,FALSE
KO204292,TRUE
f48956b3-72cb-473c-8e87-b0ef0d74387e,FALSE
KO204356,FALSE
KO204345,TRUE
NYKF23625030,FALSE
KO204331,FALSE
KO204329,FALSE
KO204224,FALSE
KO204355,TRUE
ee5dc186-eddf-48a2-adcd-1b317186cd7a,FALSE
KO204363,FALSE
KO205078,FALSE
KO204490,FALSE
86d64e03-b6f4-4844-9d41-ae55fcd1d940,FALSE
KO204143,FALSE
KO204638,FALSE
KO204130,FALSE
94b7bc39-be62-46b4-b88a-be8857632273,TRUE
KO204113,FALSE
KO204249,FALSE
NYKF23603139,FALSE
3176f2d1-f62e-4340-ba08-4e53ecb03f7f,TRUE
KO204474,FALSE
0aeda735-801f-4ecc-9869-2ba95e99991d,TRUE
KO204809,TRUE
KO205090,FALSE
KO204393,FALSE
KO204357,TRUE
KO204162,FALSE
84e6dc35-3be9-419b-9f62-4b292e521c96,FALSE
KO204687,FALSE
KO204720,FALSE
KO203051,FALSE
NYKF23805799,FALSE
KO204516,FALSE
KO204491,FALSE
NYKF23678178,FALSE
KO204724,FALSE
KO204710,FALSE
KO205858,TRUE
KO204631,FALSE
c3914767-a077-46a7-aef3-c407d4d76076,FALSE
NYKF23723100,FALSE
cb187465-2989-4050-be07-9dd69579ed7d,FALSE
47b0ea6c-97f7-407b-8abc-c048f4de6795,FALSE
KO205856,TRUE
42d170ba-3be0-492a-ab8d-cee3054b39de,FALSE
b5c7cf6d-5a61-47e6-91a8-395e8e0bc6c5,FALSE
KO204987,FALSE
NYKF23800392,FALSE
NYKF23808965,TRUE
KO204816,FALSE
ecb029c0-ab4c-4fa3-a184-09181295b24b,FALSE
80117580-82ec-4354-b87c-8512ffef059e,FALSE
KO204599,FALSE
KO204668,FALSE
KO212128,FALSE
KO204620,FALSE
KO204681,FALSE
KO205891,FALSE
KO204664,FALSE
NYKF23754217,FALSE
KO204807,FALSE
KO204846,TRUE
KO205832,TRUE
KO204864,TRUE
KO204860,FALSE
KO205841,TRUE
KO205922,FALSE
KO205844,FALSE
KO205487,FALSE
KO204561,FALSE
KO205004,FALSE
KO205273,FALSE
KO205651,FALSE
KO204993,FALSE
KO205012,FALSE
b1ff3d30-70ce-4438-9b27-65fcc12d9b01,FALSE
4812c8e6-a268-46b2-855f-39efeb947772,FALSE
KO205125,FALSE
NYKF23824408,FALSE
KO205910,FALSE
KO205863,TRUE
KO204754,FALSE
KO204801,FALSE
KO204961,FALSE
69cbc154-0dd6-4a0d-9133-397847231516,FALSE
0eb6d72c-1c47-4183-be4e-99b2a6545310,FALSE
34c58c7d-ea79-4d8b-b8cc-bd389ca9dcd9,TRUE
105d5481-47e1-4561-bdfa-5ba322b5e95f,TRUE
baa191a9-d3a9-4186-b7d5-5e2dab75d819,TRUE
8de04c52-2232-4b44-8d52-729c51a9c161,FALSE
d49b8da6-4d33-4058-aa00-005bd4862ead,FALSE
1d0f35fa-7e13-4556-b464-899274d78993,TRUE
NYKF23927463,FALSE
NYKF23927292,FALSE
6aaf23cb-2818-4f62-95e5-47ec5b66c6a3,FALSE
KO206111,TRUE
402d9b80-978d-44d6-bb8e-7ad4cabb4c29,FALSE
KO205330,FALSE
KO205386,FALSE
KO205490,FALSE
KO205551,FALSE
KO205988,FALSE
KO205223,FALSE
KO205215,FALSE
KO205419,FALSE
5897479e-205f-4b13-bb98-07aff02eeacc,FALSE
KO205840,TRUE
KO204564,TRUE
c17ac07f-92e7-4d9a-90c6-4d8c33421893,FALSE
KO206048,FALSE
KO205972,FALSE
KO206009,FALSE
KO205951,FALSE
KO205724,FALSE
KO205781,FALSE
KO206015,FALSE
KO206017,TRUE
6939cd9d-0e1d-4131-ba66-d3067c27ef27,FALSE
4fc05f56-c318-4787-86a8-46e61942c2a6,TRUE
KO205932,TRUE
KO205926,FALSE
KO206123,TRUE
KO205940,TRUE
KO205965,FALSE
KO206063,FALSE
KO205977,FALSE
KO206016,TRUE
KO205993,TRUE
KO206012,FALSE
KO206137,TRUE
KO206053,FALSE
KO205843,FALSE
KO205954,TRUE
KO205952,TRUE
KO205987,TRUE
07c845b4-faae-4bd0-9605-7c38040e3bc2,TRUE
KO209356,FALSE
KO205020,FALSE
b0245262-694a-402a-a4c6-a22ff849790e,FALSE
KO205152,FALSE
KUS5633,FALSE
KO204663,FALSE
KO204747,TRUE
KO205895,FALSE
KO204697,FALSE
b28bedbf-3cdb-4856-ab71-d97393141de4,TRUE
NYKF23746003,FALSE
KO205873,FALSE
KO205877,FALSE
KO205232,FALSE
KO205195,FALSE
KO204995,FALSE
b42cb62a-9b41-4fb3-9028-9a4e077cf7f7,FALSE
KO205138,FALSE
2667a864-898c-4125-8bdf-f8431e5d0711,FALSE
KO204838,FALSE
KO205755,TRUE
b9c1d7c8-4dc3-4d56-b942-e11b3b53b397,FALSE
8238777c-6359-4891-97c5-212a87be835b,FALSE
c8cc8681-6660-4ea1-b653-e18d11456e5f,FALSE
28343547-b838-4704-9383-cca7ea82c6ab,TRUE
eed805eb-2098-4deb-ae57-3285017279ac,FALSE
NYKF23947864,FALSE
125e8cf6-ae24-4fcf-b5ff-5a30890788fd,FALSE
b19b6ccd-55f5-49ff-8f89-eeff5a5578d6,FALSE
5f939ed5-f813-4579-a044-ce9c3e56d12f,TRUE
NYKF23959277,FALSE
KO205385,FALSE
cacaa2d4-23b2-40ff-850c-289d08a979aa,FALSE
NYKF23962769,TRUE
KO205881,FALSE
ab938877-aa48-49fe-addb-933f766f48f0,FALSE
KO205161,FALSE
KO205433,FALSE
096cdd66-77d6-4e9a-8ff1-27f9c025da48,FALSE
fc468501-a105-4509-a006-01edb086fe16,FALSE
KO205818,FALSE
KO205894,FALSE
KO205792,FALSE
KO205733,FALSE
KO205692,FALSE
046aa929-b30a-451a-a857-9f211258e208,FALSE
f50d3ebb-1a55-4b83-81f0-c9309f71b694,FALSE
7c117604-2f16-482a-b37c-f84966056c37,FALSE
KO205472,FALSE
KO209417,FALSE
b3a208ed-d187-43e6-b93c-0df988a06de4,TRUE
5096fe76-c5ed-4775-8dfa-e39da83306ae,TRUE
63728197-e7de-46a7-8136-dbab635b59c0,TRUE
KO206089,TRUE
KO205959,TRUE
KO205898,FALSE
KO205925,TRUE
KO206055,TRUE
KO206147,TRUE
