Fulfilment Location,Parent Order Code,Shipment ID,Barcode,SKU,Barcode Location,Quantity
koskii karol bagh,KO211124,155959,K1062754,SSUS0020904_ONION_PINK,,
increff warehouse bangalore,KO211124,155878,K772898,SSUS0019609_BLACK,,
increff warehouse bangalore,KO211124,155878,K994227,SSUS0020869_BLUE,,
koskii annanagar,KO211696,157360,K995291,SSRM0032966_MUSTARD_RED_M,,
koskii jubilee hills,KO211716,157113,K941465,SAUS0022138_YELLOW,,
koskii annanagar,KO211716,157163,B291FCA68A5,SSUS0038714_BOTTLE_GREEN_MULTI,,
increff warehouse bangalore,KO211716,157254,B2925FD47CF,SSUS0038713_PARROT_GREEN_MULTI,,
koskii south extension,KO211732,157379,K840034,SSUS0020834_BOTTLE_GREEN,,
increff warehouse bangalore,KO211732,157527,K918484,SSUS0019609_BLACK,,
increff warehouse bangalore,KO211732,157527,K1060503,SSSS0020422_PEACOCK_BLUE,,
koskii cathedral road,KO212781,160225,K1063720,SSRM0034660_PISTA_GREEN_XL,,
increff warehouse bangalore,KO212781,160404,K1063646,SSRM0034660_PISTA_GREEN_L,,
koskii karol bagh,KO211448,156663,K1022921,SAUS0031860_LIGHT_GREY,,
increff warehouse bangalore,KO211448,156618,K1039662,SAUS0034119_MUSTARD,,
koskii south extension,KO212203,159097,K1022030,SAUS0032260_PEACOCK_BLUE,,
increff warehouse bangalore,KO212203,158513,K1105958,SAUS0029900_BROWN,,
koskii tower,bb5633fa-9301-42df-8412-aebdd078d94a,158725,K954261,SSUS0033548_PARROT_GREEN_MULTI,,
koskii banjara hills,KO212821,160817,b6c5e8175d5,SSUS0039778_CREAM,,
koskii tower,KO212821,161444,B8026D41A3E,SSUS0039466_CREAM,,
koskii tower,KO212821,161444,B80276E3986,SSUS0039466_CREAM,,
increff warehouse bangalore,KO212821,160533,K950998,SSUS0018329_BLACK,,
increff warehouse bangalore,KO212821,160533,B00032676C6,SSUS0022387_BLACK,,
increff warehouse bangalore,KO212821,160533,B68D198D2DB,SSUS0039889_BOTTLE_GREEN,,
koskii nexus mall,KO212587,160058,B5C29D21B93,SAUS0032259_WINE,,
increff warehouse bangalore,KO212587,160016,B4ADACF844B,SAUS0034464_ONION_PINK,,
increff warehouse bangalore,KO212587,160016,B76962CCAB1,SAUS0032355_SKY_BLUE,,
koskii mg road kochi,KO213216,161681,K973380,SAUS0022526_PISTA_GREEN,,
koskii commercial,d07eaf20-6fe4-4c9f-9eab-91187041079d,155169,K959301,SAUS0031866_PEACOCK_BLUE,,
koskii south extension,KO212624,160097,AF6C4146B98,SAUS0038526_RED,,
increff warehouse bangalore,KO212624,159997,B00DF829B0C,SAUS0038527_RAMA_GREEN_YELLOW,,
increff warehouse bangalore,KO212624,159997,B423867AA85,SAUS0034613_RANI_PINK,,
koskii banjara hills,NYKF24642021,155353,k1116073,SAUS0016057_ONION_PINK,,
koskii banjara hills,KO212134,159557,KP948513,SSRM0032522_PEACOCK_BLUE_XS,,
koskii rs puram,KO212997,161679,B082D46B753,GCRM0031924_NAVY_BLUE_L,,
koskii cathedral road,KO202186,135786,K819647,SAUS0030105_RANI_PINK,,
koskii sarath city mall,KO202186,135787,K842693,SAUS0030015_PEACOCK_BLUE,,
koskii tower,KO202544,136253,K742447,SSSS0030045_ROYAL_BLUE_NAVY_BLUE,,
koskii sarath city mall,KO202544,136328,K1091925,SAUS0029917_PEACOCK_BLUE,,
koskii tower,KO202573,136673,K1111412,SSUS0038265_PISTA_GREEN_MULTI,,
koskii tower,KO202573,137250,K1096478,SSUS0032230_PINK,,
increff warehouse bangalore,KO202573,136195,K1111202,SSUS0035922_CREAM_PEACH,,
koskii sarath city mall,KO202578,136403,K915964,SSUS0033505_PEACH,,
koskii annanagar,KO202578,136402,k1115882,SSUS0018147_MAROON,,
koskii sarath city mall,KO202613,136332,K931976,SSUS0033559_RED,,
increff warehouse bangalore,KO202613,136355,K1038805,SSUS0022160_PINK_YELLOW,,
